[2025-05-18 14:38:59,080] 14 root-INFO-initiate data ingestion
[2025-05-18 14:39:06,649] 48 root-INFO-Performed train test split
[2025-05-18 14:39:06,649] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-18 14:39:06,649] 52 root-INFO-Exporting train and test file path
[2025-05-18 14:39:06,712] 55 root-INFO-Exported data to training and testing path 
[2025-05-18 14:39:06,712] 19 root-INFO-initiate the data validation
[2025-05-18 14:39:06,799] 30 root-INFO-required number of columns2
[2025-05-18 14:39:06,799] 31 root-INFO-Dataframe has columns:31
[2025-05-18 14:39:06,799] 30 root-INFO-required number of columns2
[2025-05-18 14:39:06,799] 31 root-INFO-Dataframe has columns:31
[2025-05-18 14:39:06,879] 79 root-INFO-Drift report written to: Artifacts\05_18_2025_14_38_59\data_validation\drift_report\report.yaml
[2025-05-18 14:39:06,947] 21 root-INFO-data validation is completed
