[2025-05-19 04:11:49,041] 16 root-INFO-initiate data ingestion
[2025-05-19 04:12:01,315] 48 root-INFO-Performed train test split
[2025-05-19 04:12:01,316] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-19 04:12:01,317] 52 root-INFO-Exporting train and test file path
[2025-05-19 04:12:01,588] 55 root-INFO-Exported data to training and testing path 
[2025-05-19 04:12:01,622] 21 root-INFO-initiate the data validation
[2025-05-19 04:12:01,889] 30 root-INFO-required number of columns2
[2025-05-19 04:12:01,889] 31 root-INFO-Dataframe has columns:31
[2025-05-19 04:12:01,889] 30 root-INFO-required number of columns2
[2025-05-19 04:12:01,890] 31 root-INFO-Dataframe has columns:31
[2025-05-19 04:12:02,232] 79 root-INFO-Drift report written to: Artifacts\05_19_2025_04_11_49\data_validation\drift_report\report.yaml
[2025-05-19 04:12:02,499] 23 root-INFO-data validation is completed
[2025-05-19 04:12:02,500] 44 root-INFO-Entering data transformation method
[2025-05-19 04:12:02,501] 46 root-INFO-Started the transformation
[2025-05-19 04:12:02,719] 33 root-INFO-Entered the Get_transformer method of the DataTransformation class
[2025-05-19 04:12:02,719] 37 root-INFO-Exited the transformation method of the DataTransformation class
[2025-05-19 04:12:02,775] 69 root-INFO-Savedd the data and object files
[2025-05-19 04:12:02,778] 29 root-INFO-data transformation is completed
[2025-05-19 04:12:02,779] 32 root-INFO-initiate the model trainer
