[2025-05-19 16:08:48,441] 16 root-INFO-initiate data ingestion
[2025-05-19 16:08:57,895] 48 root-INFO-Performed train test split
[2025-05-19 16:08:57,895] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-19 16:08:57,895] 52 root-INFO-Exporting train and test file path
[2025-05-19 16:08:57,942] 55 root-INFO-Exported data to training and testing path 
[2025-05-19 16:08:57,956] 21 root-INFO-initiate the data validation
[2025-05-19 16:08:58,048] 30 root-INFO-required number of columns2
[2025-05-19 16:08:58,048] 31 root-INFO-Dataframe has columns:31
[2025-05-19 16:08:58,048] 30 root-INFO-required number of columns2
[2025-05-19 16:08:58,048] 31 root-INFO-Dataframe has columns:31
[2025-05-19 16:08:58,124] 79 root-INFO-Drift report written to: Artifacts\05_19_2025_16_08_48\data_validation\drift_report\report.yaml
[2025-05-19 16:08:58,186] 23 root-INFO-data validation is completed
[2025-05-19 16:08:58,188] 44 root-INFO-Entering data transformation method
[2025-05-19 16:08:58,188] 46 root-INFO-Started the transformation
[2025-05-19 16:08:58,265] 33 root-INFO-Entered the Get_transformer method of the DataTransformation class
[2025-05-19 16:08:58,266] 37 root-INFO-Exited the transformation method of the DataTransformation class
[2025-05-19 16:08:58,282] 69 root-INFO-Savedd the data and object files
[2025-05-19 16:08:58,283] 29 root-INFO-data transformation is completed
[2025-05-19 16:08:58,283] 32 root-INFO-initiate the model trainer
