[2025-05-18 12:53:02,171] 14 root-INFO-initiate data ingestion
[2025-05-18 12:53:09,817] 48 root-INFO-Performed train test split
[2025-05-18 12:53:09,817] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-18 12:53:09,818] 52 root-INFO-Exporting train and test file path
[2025-05-18 12:53:09,883] 55 root-INFO-Exported data to training and testing path 
[2025-05-18 12:53:09,890] 19 root-INFO-initiate the data validation
[2025-05-18 12:53:09,987] 30 root-INFO-required number of columns2
[2025-05-18 12:53:09,987] 31 root-INFO-Dataframe has columns:31
[2025-05-18 12:53:09,987] 30 root-INFO-required number of columns2
[2025-05-18 12:53:09,987] 31 root-INFO-Dataframe has columns:31
[2025-05-18 12:53:10,134] 21 root-INFO-data validation is completed
