[2025-05-18 14:34:20,999] 14 root-INFO-initiate data ingestion
[2025-05-18 14:34:25,573] 48 root-INFO-Performed train test split
[2025-05-18 14:34:25,573] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-18 14:34:25,574] 52 root-INFO-Exporting train and test file path
[2025-05-18 14:34:25,639] 55 root-INFO-Exported data to training and testing path 
[2025-05-18 14:34:25,646] 19 root-INFO-initiate the data validation
[2025-05-18 14:34:25,748] 30 root-INFO-required number of columns2
[2025-05-18 14:34:25,748] 31 root-INFO-Dataframe has columns:31
[2025-05-18 14:34:25,748] 30 root-INFO-required number of columns2
[2025-05-18 14:34:25,748] 31 root-INFO-Dataframe has columns:31
[2025-05-18 14:34:25,915] 21 root-INFO-data validation is completed
