[2025-05-19 01:39:08,875] 15 root-INFO-initiate data ingestion
[2025-05-19 01:39:14,217] 48 root-INFO-Performed train test split
[2025-05-19 01:39:14,217] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-19 01:39:14,217] 52 root-INFO-Exporting train and test file path
[2025-05-19 01:39:14,302] 55 root-INFO-Exported data to training and testing path 
[2025-05-19 01:39:14,309] 20 root-INFO-initiate the data validation
[2025-05-19 01:39:14,439] 30 root-INFO-required number of columns2
[2025-05-19 01:39:14,439] 31 root-INFO-Dataframe has columns:31
[2025-05-19 01:39:14,439] 30 root-INFO-required number of columns2
[2025-05-19 01:39:14,439] 31 root-INFO-Dataframe has columns:31
[2025-05-19 01:39:14,550] 79 root-INFO-Drift report written to: Artifacts\05_19_2025_01_39_08\data_validation\drift_report\report.yaml
[2025-05-19 01:39:14,607] 22 root-INFO-data validation is completed
[2025-05-19 01:39:14,622] 44 root-INFO-Entering data transformation method
[2025-05-19 01:39:14,622] 46 root-INFO-Started the transformation
[2025-05-19 01:39:14,716] 33 root-INFO-Entered the Get_transformer method of the DataTransformation class
[2025-05-19 01:39:14,716] 37 root-INFO-Exited the transformation method of the DataTransformation class
[2025-05-19 01:39:14,732] 69 root-INFO-Savedd the data and object files
