[2025-05-19 16:06:17,049] 16 root-INFO-initiate data ingestion
[2025-05-19 16:06:37,034] 48 root-INFO-Performed train test split
[2025-05-19 16:06:37,034] 49 root-INFO-Exited the split_data_train_test method of DataIngestion class
[2025-05-19 16:06:37,035] 52 root-INFO-Exporting train and test file path
[2025-05-19 16:06:37,086] 55 root-INFO-Exported data to training and testing path 
[2025-05-19 16:06:37,086] 21 root-INFO-initiate the data validation
[2025-05-19 16:06:37,189] 30 root-INFO-required number of columns2
[2025-05-19 16:06:37,189] 31 root-INFO-Dataframe has columns:31
[2025-05-19 16:06:37,189] 30 root-INFO-required number of columns2
[2025-05-19 16:06:37,189] 31 root-INFO-Dataframe has columns:31
[2025-05-19 16:06:37,284] 79 root-INFO-Drift report written to: Artifacts\05_19_2025_16_06_17\data_validation\drift_report\report.yaml
[2025-05-19 16:06:37,348] 23 root-INFO-data validation is completed
[2025-05-19 16:06:37,348] 44 root-INFO-Entering data transformation method
[2025-05-19 16:06:37,348] 46 root-INFO-Started the transformation
[2025-05-19 16:06:37,423] 33 root-INFO-Entered the Get_transformer method of the DataTransformation class
[2025-05-19 16:06:37,423] 37 root-INFO-Exited the transformation method of the DataTransformation class
[2025-05-19 16:06:37,458] 69 root-INFO-Savedd the data and object files
[2025-05-19 16:06:37,458] 29 root-INFO-data transformation is completed
[2025-05-19 16:06:37,458] 32 root-INFO-initiate the model trainer
